X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,SE_ANNO_CAD_DATA,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SHAPE
-77.0328038153021,38.8955128592565,22100290,1400 block of Pennsylvania Ave NW,2022/07/13 04:00:00+00,1925,2022/07/13 04:00:00+00,2022,7,2D,Ward 2,Ethnicity/National Origin,Ethiopian,Simple Assault,801449,397154.49,136406.84,38.89550507,-77.03280152,,{FD29DB9A-7BD2-4F97-A175-AC45F4FA6B84},,,MPD,2024/02/16 21:02:52+00,3027,
-76.9958555665263,38.8845521264952,22101829,700 block of Pennsylvania Ave SE,2022/07/16 04:00:00+00,1752,2022/07/16 04:00:00+00,2022,7,1D,Ward 6,Gender Identity/Expression,,Simple Assault,804857,400359.78,135189.61,38.88454434,-76.99585329,,{14C92E6F-235E-4659-A9F5-227E0DF7D926},,,MPD,2024/02/16 21:02:52+00,3028,
-76.9863491820287,38.866087033184,22103742,1300 block of U St SE,2022/07/20 04:00:00+00,1312,2022/07/20 04:00:00+00,2022,7,7D,Ward 8,Sexual Orientation,,Simple Assault,813394,401184.88537505,133139.92632899,38.86607925,-76.98634691,,{B582ECA3-6F02-402F-8A68-3DD8EA9BB9D5},,,MPD,2024/02/16 21:02:52+00,3029,
-77.0029562372492,38.877013310487,22104216,1100 block of 2nd Pl SE,2022/07/21 04:00:00+00,0930,2022/07/21 04:00:00+00,2022,7,1D,Ward 8,Political Affiliation,,Simple Assault,811711,399743.68,134352.74,38.87700553,-77.00295395,,{29444D25-F220-4303-8590-D70DD5209E36},,,MPD,2024/02/16 21:02:52+00,3030,
-77.0307887728051,38.9181204918837,22105091,1300 block of V St NW,2022/07/22 04:00:00+00,2216,2022/07/23 04:00:00+00,2022,7,3D,Ward 1,Gender Identity/Expression,,Simple Assault,810147,397330.14,138916.41,38.9181127,-77.03078648,,{9EE2E74A-A9B9-4408-B3CF-5DA9729C7C5E},,,MPD,2024/02/16 21:02:52+00,3031,
-77.0470643358359,38.9054739334265,22104668,2100 block of M St NW,2022/07/22 04:00:00+00,0245,2022/07/22 04:00:00+00,2022,7,2D,Ward 2,Race,Black,ADW,815021,395917.97,137513.14,38.90546615,-77.04706204,,{ED32984C-F273-4B0A-AC90-B59DEDD0D6C9},,,MPD,2024/02/16 21:02:52+00,3032,
-77.016182289223,38.8967446354004,22107329,500 block of 4th St NW,2022/07/27 04:00:00+00,1156,2022/07/27 04:00:00+00,2022,7,1D,Ward 6,Race,Black,Simple Assault,800109,398596.42,136543.19,38.89673685,-77.01618,,{57359B14-6F4E-420A-BA9E-BB587A68B6AE},,,MPD,2024/02/16 21:02:52+00,3033,
-77.0580828364515,38.9348320736476,22109009,3400 block of Connecticut Ave NW,2022/07/30 04:00:00+00,1520,2022/07/30 04:00:00+00,2022,7,2D,Ward 3,Sexual Orientation,,Simple Assault,803643,394964.33,140772.69,38.93482428,-77.05808053,,{37C39629-9454-4752-BB93-6911C071ED5D},,,MPD,2024/02/16 21:02:52+00,3034,
-77.0239799863956,38.9064524130166,22113098,1200 block of 9th St NW,2022/08/07 04:00:00+00,1033,2022/08/07 04:00:00+00,2022,8,3D,Ward 2,Ethnicity/National Origin,Mexican,Simple Assault,801626,397920.27,137620.98,38.90644462,-77.02397769,,{F9E7987D-8BFE-41EE-A618-A63D8D001FB3},,,MPD,2024/02/16 21:02:52+00,3035,
-77.0219173366497,38.9133561827876,22113288,1700 block of 7th St NW,2022/08/07 04:00:00+00,1743,2022/08/07 04:00:00+00,2022,8,3D,Ward 2,Sexual Orientation,,Simple Assault,811043,398099.36,138387.31,38.91334839,-77.02191505,,{C6102F19-AFD9-40E9-9889-7E6699CDE414},,,MPD,2024/02/16 21:02:52+00,3036,
-76.9817252275548,38.848340554044,22113952,1500 block of Tubman Rd SE,2022/08/08 04:00:00+00,2226,2022/08/09 04:00:00+00,2022,8,7D,Ward 8,Gender Identity/Expression,,Threats,815448,401586.57,131170.01,38.84833278,-76.98172295,,{9621D451-4938-4AE0-8C3E-78AAACE73CCF},,,MPD,2024/02/16 21:02:52+00,3037,
-76.9699832359645,38.8580616212564,22114800,2400 block of 25th St SE,2022/08/10 04:00:00+00,1520,2022/08/10 04:00:00+00,2022,8,7D,Ward 8,Sexual Orientation,,Simple Assault,812439,402605.49827237,132249.38696816,38.85805384,-76.96998096,,{277A38B2-7464-437A-8CE0-0B087BBF696C},,,MPD,2024/02/16 21:02:52+00,3038,
-76.9909635778177,38.9320507001183,22116821,3400 block of 12th St NE,2022/08/14 04:00:00+00,1641,2022/08/14 04:00:00+00,2022,8,5D,Ward 5,Religion,Catholic,Damage/Defacing/Destruction of Property,806544,400783.7,140462.37,38.93204291,-76.9909613,,{A9AD405E-3695-4270-9F9F-9810930B5312},,,MPD,2024/02/16 21:02:52+00,3039,
-76.9909635778177,38.9320507001183,22117137,3400 block of 12th St NE,2022/08/15 04:00:00+00,1042,2022/08/15 04:00:00+00,2022,8,5D,Ward 5,Religion,Catholic,Burglary,806544,400783.7,140462.37,38.93204291,-76.9909613,,{E8BA6A01-DC3B-4483-BC0C-468B94AFA07B},,,MPD,2024/02/16 21:02:52+00,3040,
-77.0309791537941,38.9247612890993,20133457,1300 block of Fairmont St NW,2020/09/18 04:00:00+00,1130,2020/09/18 04:00:00+00,2020,9,3D,Ward 1,Sexual Orientation,,Threats,804659,397313.88,139653.6,38.9247535,-77.03097686,,{C103DB74-BC2E-4FE0-8969-357BDA245CC6},,,MPD,2024/02/16 21:02:52+00,3041,
-77.0363722256411,38.969827806451,20136564,6600 block of 16th St NW,2020/09/24 04:00:00+00,1422,2020/09/24 04:00:00+00,2020,9,4D,Ward 4,Race,Black,Simple Assault,812690,396848.22,144656.56,38.96982001,-77.03636993,,{21AAED21-5751-4060-96CE-0F526E9AE71E},,,MPD,2024/02/16 21:02:52+00,3042,
-77.0175700512371,38.8998009725407,20137693,400 block of H St NW,2020/09/26 04:00:00+00,1959,2020/09/26 04:00:00+00,2020,9,1D,Ward 6,Race,Black,Simple Assault,802812,398476.1,136882.49,38.89979319,-77.01756776,,{0D65D2AB-4C79-4480-9BD5-E34B0143174A},,,MPD,2024/02/16 21:02:52+00,3043,
-77.021102546276,38.9564203420627,20138100,600 block of Kennedy St NW,2020/09/27 04:00:00+00,1440,2020/09/27 04:00:00+00,2020,9,4D,Ward 4,Gender Identity/Expression,,Simple Assault,808391,398171.13,143167.79,38.95641254,-77.02110025,,{55C45BF3-0799-4468-A011-80D661F44FCD},,,MPD,2024/02/16 21:02:52+00,3044,
-77.0246367626532,38.9170041971694,20138274,900 block of U St NW,2020/09/27 04:00:00+00,2225,2020/09/27 04:00:00+00,2020,9,3D,Ward 1,Sexual Orientation,,Simple Assault,813703,397863.62,138792.33,38.91699641,-77.02463447,,{958AC5B1-8CE3-4124-92DC-2C714E02444B},,,MPD,2024/02/16 21:02:52+00,3045,
-77.0144001542693,38.8775423337762,20139106,200 block of L St SW,2020/09/29 04:00:00+00,1208,2020/09/29 04:00:00+00,2020,9,1D,Ward 6,Sexual Orientation,,Threats,809775,398750.68,134411.56,38.87753455,-77.01439787,,{F30D69DE-3F42-4015-B9D1-4249293F0C35},,,MPD,2024/02/16 21:02:52+00,3046,
-77.0332566388807,38.9096593644672,20140286,1400 block of P St NW,2020/10/01 04:00:00+00,1629,2020/10/01 04:00:00+00,2020,10,2D,Ward 2,Sexual Orientation,,Threats,815289,397115.78,137977.23,38.90965158,-77.03325434,,{22942BC8-17E0-464E-9131-2AD6D2168699},,,MPD,2024/02/16 21:02:52+00,3047,
-77.054024975767,38.9052648108482,20142177,2500 block of M St NW,2020/10/03 04:00:00+00,1630,2020/10/05 04:00:00+00,2020,10,2D,Ward 2,Ethnicity/National Origin,Jewish,Displaying Symbols,801191,395314.21,137490.26,38.90525702,-77.05402268,,{4DA8FA29-EC3D-461F-90C8-43BBBFC064F0},,,MPD,2024/02/16 21:02:52+00,3048,
-76.9998962063437,38.8316416650911,20141735,400 block of Condon Ter SE,2020/10/04 04:00:00+00,0905,2020/10/04 04:00:00+00,2020,10,7D,Ward 8,Gender Identity/Expression,,Simple Assault,809255,400009.21,129316.16,38.83163389,-76.99989393,,{E2D0906E-9834-4439-BF89-061F3CEA3A94},,,MPD,2024/02/16 21:02:52+00,3049,
-76.9836382285815,38.8995513467669,20142314,700 block of 15th St NE,2020/10/05 04:00:00+00,1232,2020/10/05 04:00:00+00,2020,10,5D,Ward 6,Ethnicity/National Origin,Black/African,ADW,800794,401419.49,136854.76,38.89954356,-76.98363595,,{2B1BAC1D-F2AE-43CE-8143-A4DF1264F21E},,,MPD,2024/02/16 21:02:52+00,3050,
-77.0445397316219,38.940976543996,20143489,1900 block of Upshur St NW,2020/10/07 04:00:00+00,1657,2020/10/07 04:00:00+00,2020,10,4D,Ward 4,Race,Black,Threats,814539,396138.87,141454.12,38.94096875,-77.04453743,,{B667C1AD-F292-44BA-A1D3-51EBEF573EBE},,,MPD,2024/02/16 21:02:52+00,3051,
-77.0302819718224,38.9311358453516,20144486,1300 block of Park Rd NW,2020/10/09 04:00:00+00,1505,2020/10/09 04:00:00+00,2020,10,3D,Ward 1,Sexual Orientation,,Threats,802061,397374.57,140361.21,38.93112805,-77.03027968,,{D85B42C0-337D-43C7-987A-EFCBB814F262},,,MPD,2024/02/16 21:02:52+00,3052,
-76.9913021826455,38.9378489195536,20144337,1100 block of Michigan Ave NE,2020/10/09 04:00:00+00,0913,2020/10/09 04:00:00+00,2020,10,4D,Ward 5,Race,Black,Displaying Symbols,811071,400754.28,141106.02,38.93784112,-76.9912999,,{214C7CD1-5658-4CDB-A2D2-2C85CC50F17A},,,MPD,2024/02/16 21:02:52+00,3053,
-77.0787482025385,38.9487994076138,20181259,4500 block of 40th St NW,2020/10/12 04:00:00+00,1500,2020/12/22 05:00:00+00,2020,12,2D,Ward 3,Gender Identity/Expression,,Threats,805604,393173.95,142324.53,38.94879161,-77.07874589,,{5C36A2AF-9F82-4D57-9757-70C209C6FF5C},,,MPD,2024/02/16 21:02:52+00,3054,
-76.9377597107109,38.8912292253105,20146873,100 block of 45th St NE,2020/10/14 04:00:00+00,0400,2020/10/14 04:00:00+00,2020,10,6D,Ward 7,Sexual Orientation,,Simple Assault,801314,405399.82355496,135932.65215558,38.89122144,-76.93775745,,{5A680367-0ADC-4886-BC4A-3427BC00CC0C},,,MPD,2024/02/16 21:02:52+00,3055,
-77.0124096795709,38.8248156484667,20147561,4600 block of Martin Luther King Jr Ave SW,2020/10/15 04:00:00+00,1210,2020/10/15 04:00:00+00,2020,10,7D,Ward 8,Sexual Orientation,,Simple Assault,810760,398922.6,128558.5,38.82480788,-77.0124074,,{A09F6B2D-D345-4AA5-ABFE-63C135A08DBE},,,MPD,2024/02/16 21:02:52+00,3056,
-76.9931424855264,38.9222243975062,20148268,900 block of Rhode Island Ave NE,2020/10/16 04:00:00+00,1707,2020/10/16 04:00:00+00,2020,10,5D,Ward 5,Gender Identity/Expression,,Simple Assault,814008,400594.86,139371.55,38.9222166,-76.9931402,,{507A9A00-D452-46D1-8DA4-46322F4A3EE8},,,MPD,2024/02/16 21:02:52+00,3057,
-77.0396554650008,38.9246640795471,20148749,1700 block of Columbia Rd NW,2020/10/17 04:00:00+00,1749,2020/10/17 04:00:00+00,2020,10,3D,Ward 1,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,800952,396561.52,139643.1,38.92465629,-77.03965317,,{549C0889-EC4A-40CC-8C33-A4E3FFDD48C8},,,MPD,2024/02/16 21:02:52+00,3058,
-77.0281384879075,38.9596903909736,20148890,5800 block of Georgia Ave NW,2020/10/17 04:00:00+00,2210,2020/10/17 04:00:00+00,2020,10,4D,Ward 4,Sexual Orientation,,Simple Assault,809007,397561.4,143530.96,38.95968259,-77.02813619,,{4F2CE7EB-906D-46EF-96A3-96EAD53EEE27},,,MPD,2024/02/16 21:02:52+00,3059,
-77.0542463052793,38.914777971624,20150812,2500 block of Massachusetts Ave NW,2020/10/21 04:00:00+00,1538,2020/10/21 04:00:00+00,2020,10,2D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,805311,395295.64,138546.31,38.91477018,-77.054244,,{16150A5E-5945-4EEE-AAF5-F6113F44F857},,,MPD,2024/02/16 21:02:52+00,3060,
-76.9957835069711,38.9025190489038,20160241,700 block of K St NE,2020/11/09 05:00:00+00,0229,2020/11/09 05:00:00+00,2020,11,5D,Ward 6,Gender Identity/Expression,,ADW,809938,400365.94,137184.08,38.90251126,-76.99578122,,{51AC1DED-E330-45C3-8371-424453DCB674},,,MPD,2024/02/16 21:02:52+00,3061,
-77.0477182886168,38.9096446239348,20160871,2100 block of P ST NW,2020/11/10 05:00:00+00,0941,2020/11/10 05:00:00+00,2020,11,2D,Ward 2,Ethnicity/National Origin,Chinese,Simple Assault,807038,395861.49,137976.15,38.90963684,-77.04771599,,{CBEFD6E5-50B2-4E58-9C8C-A29FFFA84954},,,MPD,2024/02/16 21:02:52+00,3062,
-77.0265166246871,38.8983230839497,20163102,1000 block of G St NW,2020/11/14 05:00:00+00,1615,2020/11/14 05:00:00+00,2020,11,2D,Ward 2,Political Affiliation,,Simple Assault,800330,397699.99,136718.62,38.8983153,-77.02651433,,{47AFE196-D7F6-475E-8FB1-A2C073D92F16},,,MPD,2024/02/16 21:02:52+00,3063,
-77.0365523660639,38.9007803781646,20163515,800 block of 16th St NW,2020/11/15 05:00:00+00,1600,2020/11/15 05:00:00+00,2020,11,2D,Ward 2,Political Affiliation,,Simple Assault,813038,396829.54,136991.7,38.90077259,-77.03655007,,{667CA24B-1437-477D-95DB-624681580915},,,MPD,2024/02/16 21:02:52+00,3064,
